date	event	z	s62	p80	type
2010-07-08	14797	6.329166666666667	384.2353337494723	384.63942561605853	m2
2010-07-09	14797	5.702083333333333	355.78435767418273	355.7606516612286	m2
2010-07-19	14811	6.779166666666667	284.3009753146378	288.7403501764534	m2
2010-07-20	14811	6.652083333333334	290.9690098998945	293.6945335283847	m2
2010-07-21	14811	6.702083333333333	263.38180018970655	278.91498637174743	m2
2010-07-22	14811	6.7875	202.92577774884398	204.05221023113415	m2
2010-07-23	14811	6.925	242.88738281255164	251.10378749233854	m2
2012-05-29	15491	9.202083333333333	315.05099319602994	315.57365972336476	m2
2012-05-30	15491	9.14375	323.74847892341035	324.3621722968069	m2
2012-05-31	15491	9.241666666666667	313.19093057963727	314.76662885683885	m2
2012-06-01	15491	9.352083333333335	331.17583231971145	329.55588860583407	m2
2012-06-02	15491	9.59375	348.9326397726679	345.6673050524545	m2
2012-06-11	15504	8.764583333333334	620.2001815373065	637.641114854753	m2
2012-06-12	15504	8.76875	635.5921372764597	655.11546092465	m2
2012-06-13	15504	8.947916666666666	633.4682905665557	655.7203761710356	m2
2012-06-14	15504	9.097916666666666	371.40618315456106	395.23314403285104	m2
2012-06-15	15504	9.227083333333333	760.9034016730845	758.1990145675745	m2
2012-06-24	15517	8.691666666666666	242.05980499538052	264.5967834981076	m2
2012-06-25	15517	8.793750000000001	237.36970147776475	267.18024740914257	m2
2012-06-26	15517	8.727083333333333	234.33772348251412	258.8890010800012	m2
2012-06-27	15517	8.285416666666666	231.52990504031334	253.981562476659	m2
2012-06-28	15517	7.885416666666667	239.39623525521168	248.70842167712755	m2
2012-07-08	15531	6.6625	286.87155768757515	287.01623498629044	m2
2012-07-09	15531	6.802083333333333	282.53666639265117	283.41759922420044	m2
2012-07-10	15531	6.952083333333333	305.111195214017	303.8725605636521	m2
2012-07-11	15531	6.641666666666667	277.4504795028264	278.0184855662107	m2
2012-07-12	15531	6.65625	277.54651813803866	278.0993232860496	m2
2012-07-23	15546	6.952083333333333	432.2455676399535	427.65120045485787	m2
2012-07-24	15546	6.63125	411.38736994011714	409.7159133179532	m2
2012-07-25	15546	7.49375	255.72838504066897	260.1299670213307	m2
2012-07-26	15546	8.339583333333334	378.9697196493137	380.37734329921557	m2
2012-07-27	15546	8.083333333333332	432.3340666943101	431.24653847012615	m2
2012-08-05	15559	8.4	462.1179759279639	456.24016697758884	m2
2012-08-06	15559	8.49375	484.88627158197454	472.9496533225699	m2
2012-08-07	15559	8.375	476.222384517734	465.440471348906	m2
2012-08-08	15559	8.4375	141.4403770451604	235.26676156404093	m2
2012-08-09	15559	8.533333333333333	182.7767008702003	266.4190987765994	m2
2007-06-18	13684	9.989583333333334	62.687831260393935	63.29820883580816	m3
2007-06-19	13684	9.841666666666667	83.64000365955503	84.03061304518991	m3
2007-06-20	13684	9.7875	84.73324323443182	85.42186828975116	m3
2007-06-21	13684	9.470833333333333	81.92810189135643	83.91266963189786	m3
2007-06-22	13684	8.7625	81.90044533514212	84.10772292534561	m3
2007-07-15	13711	9.504166666666666	89.86353290341913	89.60006876912169	m3
2007-07-16	13711	9.4625	89.15934454749761	88.99724990936345	m3
2007-07-17	13711	8.777083333333334	81.66106875521683	81.49795805568468	m3
2007-07-18	13711	9.114583333333334	84.45391227237893	84.41128508057125	m3
2007-07-19	13711	9.270833333333334	85.87192479847991	85.65967899993458	m3
2007-07-29	13725	8.989583333333334	99.13163017897423	99.0967449163224	m3
2007-07-30	13725	9.21875	98.57681249598646	98.68686507045565	m3
2007-07-31	13725	8.941666666666666	99.01751780009124	99.11574699433761	m3
2007-08-01	13725	8.50625	99.50047871060978	99.78879941622736	m3
2007-08-02	13725	8.479166666666666	99.13135726069348	99.38438635077692	m3
2007-09-19	13777	13.372916666666667	81.88901349147825	84.54652552354624	m3
2007-09-20	13777	13.19375	62.395947681056924	66.89779120552828	m3
2007-09-21	13777	13.710416666666667	58.119164346913465	60.88434166930102	m3
2007-09-22	13777	13.7375	96.5853455602513	99.19747042726506	m3
2007-09-23	13777	13.770833333333334	92.33373896295976	95.06776081045795	m3
2008-05-31	14028	7.897916666666667	102.67753801990997	105.42097588242487	m3
2008-06-09	14041	7.722916666666666	79.4884479300939	78.02543855908048	m3
2008-06-10	14041	7.935416666666667	76.04968608787615	74.83413952669859	m3
2008-06-11	14041	8.145833333333332	48.359796016094215	48.02828265682913	m3
2008-06-12	14041	8.360416666666667	43.28616380435815	43.58134675949026	m3
2008-06-13	14041	8.570833333333333	75.42958396098332	74.08596900288757	m3
2008-07-01	14063	9.227083333333333	111.29374566910087	112.43783003310571	m3
2008-07-02	14063	9.208333333333334	106.14644615605512	106.53444955589043	m3
2008-07-03	14063	8.820833333333333	98.8200570729908	101.16777085423477	m3
2008-07-04	14063	8.48125	103.52672882395608	105.35845483415255	m3
2008-07-05	14063	9.122916666666667	111.55447512587239	111.9074539686002	m3
2008-07-16	14078	8.283333333333333	90.98437808038801	92.06568751721328	m3
2008-07-17	14078	8.333333333333334	74.35718318340093	78.61899504852603	m3
2008-07-18	14078	8.418750000000001	80.64841305758938	89.93513684319788	m3
2008-07-19	14078	8.310416666666667	75.1002751392895	83.23883037765731	m3
2008-07-20	14078	8.2375	81.88431967392034	86.33366800112856	m3
2008-07-29	14091	8.387500000000001	48.45563366420937	48.59856306551702	m3
2008-07-30	14091	8.439583333333333	52.3796643149966	53.16245514242174	m3
2008-07-31	14091	8.116666666666667	54.10350784462371	54.69367111181669	m3
2008-08-01	14091	8.1875	51.29382082618028	52.687148000608474	m3
2008-08-02	14091	8.725	49.610690493184975	50.96404789026734	m3
2008-08-12	14105	8.1	52.24811586948296	51.94390663868981	m3
2008-08-13	14105	8.125	55.717488510111764	55.432820546183876	m3
2008-08-14	14105	8.254166666666666	61.34756906245946	65.43272085209435	m3
2008-08-15	14105	8.3	60.87498028863593	64.91270700419204	m3
2008-08-16	14105	8.3	50.41196041198335	52.72527772025667	m3
2008-08-24	14117	9.681249999999999	45.63610682947283	48.72642627108839	m3
2008-08-25	14117	9.7	40.64312524914545	48.4211898003114	m3
2008-08-26	14117	9.6625	40.16769687984708	47.60252355454138	m3
2008-08-27	14117	9.779166666666667	47.51408722186776	48.97883546815518	m3
2008-08-28	14117	9.918750000000001	34.969709280500666	37.46248436483957	m3
2009-05-05	14370	14.44375	102.0929829201702	105.52588581126874	m3
2009-05-06	14370	4.466666666666667	98.14803740650771	106.84264425770414	m3
2009-05-07	14370	7.202083333333333	137.23292860419036	133.66462103165404	m3
2009-05-08	14370	4.529166666666667	102.47272139774647	111.15001964698446	m3
2009-05-19	14385	6.991666666666667	89.81589658067755	89.70280344013146	m3
2009-05-20	14385	7.179166666666666	100.9702826172615	97.16223940791417	m3
2009-05-21	14385	7.366666666666667	80.74655061409287	80.34903716831612	m3
2009-05-22	14385	7.554166666666666	99.09654437320081	96.16317754302895	m3
2009-05-23	14385	7.747916666666667	91.47185868806362	88.63324339449001	m3
2009-06-08	14405	9.258333333333333	28.571517414212554	34.69570297014233	m3
2009-06-09	14405	9.908333333333333	47.60650750088118	49.40892979804909	m3
2009-06-10	14405	10.091666666666667	41.26827113492637	45.012365739986336	m3
2009-06-11	14405	10.283333333333333	54.70385832320832	52.91931619555175	m3
2009-06-12	14405	10.35625	57.52743841600695	54.927339424081765	m3
2009-06-27	14424	6.727083333333334	50.118118664956626	52.779292897415196	m3
2009-06-28	14424	8.19375	57.83553395881428	57.772992307481964	m3
2009-06-29	14424	9.5125	37.298481119277184	41.75375779915931	m3
2009-06-30	14424	9.345833333333333	56.319703345447074	57.476299482391106	m3
2009-07-01	14424	8.804166666666667	64.96832658377862	63.657010624192715	m3
2009-07-05	14432	8.458333333333334	28.922178576027065	28.462036286809102	m3
2009-07-06	14432	9.1375	29.277155766559606	28.492645203524564	m3
2009-07-07	14432	9.547916666666667	28.812317863491764	28.17268101231949	m3
2009-07-08	14432	8.577083333333333	28.658717405957333	28.07557885447746	m3
2009-07-09	14432	8.622916666666667	29.150982685206667	28.380341243304162	m3
2009-07-19	14446	8.589583333333334	47.923524827079426	46.2504921714989	m3
2009-07-20	14446	8.389583333333334	47.34606747329577	45.31576068143301	m3
2009-07-21	14446	9.029166666666667	40.515122813003494	40.32534592404283	m3
2009-07-22	14446	8.558333333333334	43.73967372360291	42.43926388873593	m3
2009-07-23	14446	8.077083333333334	45.511363119928205	44.002949930315175	m3
2009-08-01	14459	9.44375	58.763853166496794	58.854763061968015	m3
2009-08-02	14459	9.5	56.90847062650468	56.961446042468644	m3
2009-08-03	14459	9.5	61.8572430937272	61.865142057777234	m3
2009-08-04	14459	9.5	67.78015336165075	67.80884137170149	m3
2009-08-05	14459	9.445833333333333	67.27570807121798	66.89496033728989	m3
2009-08-16	14474	8.954166666666667	28.271853273137854	30.032600493925102	m3
2009-08-17	14474	8.84375	42.67965004020399	41.95359302872531	m3
2009-08-18	14474	8.672916666666666	42.42410658805685	41.827944386865944	m3
2009-08-19	14474	8.629166666666666	31.49400834704825	32.5531467928166	m3
