year,yday,hour,datetime,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,do,do2_sat,k,series,unique_series,series_length,unique_day,index
2010,223,24,2010-08-12T04:00:00Z,24.994761904761905,1e-5,1.4,5.788534681175503,7.759751693762945,1.0461030610714774,5.0955393408318284e-6,8.177755102040816,1.0538681422775227,0.009260685348984547,1,4,1918,293,7022
2010,224,1,2010-08-12T05:00:00Z,24.95619047619048,1e-5,1.5,5.790567110124631,7.765307318081321,1.0402035192080223,5.096737447160172e-6,8.117755102040816,1.0453874868723905,0.00953933283603056,1,4,1918,294,7023
2010,224,2,2010-08-12T06:00:00Z,24.923333333333336,1e-5,1.3,5.790176835497679,7.769670771721414,1.0357581725714524,5.096936827665505e-6,8.116326530612245,1.0446165312631421,0.00895270705404441,1,4,1918,294,7024
2010,224,3,2010-08-12T07:00:00Z,24.886190476190478,1e-5,1.3,5.786922638901442,7.776531862994594,1.0348443421539664,5.098599769689141e-6,8.103469387755101,1.0420415592092243,0.008950007164702505,1,4,1918,294,7025
2010,224,4,2010-08-12T08:00:00Z,24.851904761904763,1e-5,1,5.77892008961584,7.781487848142561,1.0380405595477602,5.102692708969022e-6,8.106326530612245,1.041745060688776,0.008085032503719523,1,4,1918,294,7026
2010,224,5,2010-08-12T09:00:00Z,24.806190476190476,0.1392857142857143,1,5.775835442921586,7.789230299547015,1.0305896335440026,0.07109521300030332,8.114897959183674,1.04180999240138,0.008080749916497097,1,4,1918,294,7027
2010,224,6,2010-08-12T10:00:00Z,24.764761904761908,19.552285714285716,0.9,5.771927637898132,7.797489150594771,1.0359103865356287,9.983931118469146,8.119183673469388,1.0412561680640593,0.007788589244846733,1,4,1918,294,7028
2010,224,7,2010-08-12T11:00:00Z,24.764761904761905,203.958,0.8,5.716023707617487,7.800493639170664,1.0380753288917384,104.73317458841379,8.169183673469387,1.047264961854122,0.00757209123689138,1,4,1918,294,7029
2010,224,8,2010-08-12T12:00:00Z,24.83476190476191,589.7314285714285,0.9,5.7140872402142096,7.79297091850697,1.0467766510750522,302.8882503554009,8.193469387755103,1.0513922704750531,0.007880257040923681,1,4,1918,294,7030
2010,224,9,2010-08-12T13:00:00Z,24.854761904761904,545.7985714285714,1.8,5.733130567073325,7.788949669215887,1.0511686873981605,279.78772949337497,8.179183673469389,1.0501009790570115,0.01048943291604671,1,4,1918,294,7031
2010,224,10,2010-08-12T14:00:00Z,24.996190476190478,1047.9285714285713,2.6,5.725723094474762,7.766280328837143,1.0516617549424632,537.5903174385228,8.162040816326531,1.0509588207909366,0.012887626789640233,1,4,1918,294,7032
2010,224,11,2010-08-12T15:00:00Z,25.210476190476193,1413.1142857142856,2.7,5.726846142945262,7.738501352853671,1.0515601960835985,724.8497465675661,8.116326530612245,1.048824075945822,0.01324454090822704,1,4,1918,294,7033
2010,224,12,2010-08-12T16:00:00Z,25.454761904761906,1506.4714285714285,2.3,5.726094140439271,7.704049973130018,1.0484745073269892,772.7952592804675,8.083469387755104,1.0492493449482305,0.012134022419332566,1,4,1918,294,7034
2010,224,13,2010-08-12T17:00:00Z,25.673333333333336,1403.5614285714287,2.2,5.718672675819005,7.6723811185471815,1.052802236384411,720.5418212866696,8.064897959183673,1.0511597162043507,0.011912655069799329,1,4,1918,294,7035
2010,224,14,2010-08-12T18:00:00Z,25.95047619047619,1266.74,1.7,5.729178759351822,7.632001804318699,1.051821030159807,649.6154049768135,8.013469387755102,1.0499826380046902,0.010466583276399998,1,4,1918,294,7036
2010,224,15,2010-08-12T19:00:00Z,26.14761904761905,1351.442857142857,1.7,5.73116931670102,7.601600545904206,1.0533965776871157,692.9144096225299,7.976326530612246,1.0492956690430078,0.010510730629946598,1,4,1918,294,7037
2010,224,16,2010-08-12T20:00:00Z,26.57190476190476,1146.7142857142858,1.8,5.72544649125415,7.538710856093088,1.0489193909869672,588.284033407207,7.8956122448979595,1.0473424960338424,0.010929523143849573,1,4,1918,294,7038
2010,224,17,2010-08-12T21:00:00Z,26.396190476190476,873.2671428571429,1.7,5.72287499396993,7.561008607923781,1.0550841050015134,448.11686364930824,7.959183673469388,1.0526616336778571,0.010586576078291766,1,4,1918,294,7039
2010,224,18,2010-08-12T22:00:00Z,26.48904761904762,539.59,1.1,5.714343879681016,7.546784478767128,1.0676732617275306,277.1282690800255,8.016326530612245,1.062217498481131,0.008797016040086784,1,4,1918,294,7040
2010,224,19,2010-08-12T23:00:00Z,26.75619047619048,199.96342857142858,1.1,5.710634444286567,7.505549501238421,1.0655449009669988,102.7376548426113,7.966326530612244,1.0613915116138792,0.00885719489446628,1,4,1918,294,7041
2010,224,20,2010-08-13T00:00:00Z,26.763333333333335,20.905142857142856,1,5.708539171780159,7.507850252493076,1.0598906121439506,10.742956320275487,7.949183673469388,1.0587829280198766,0.008554972373868526,1,4,1918,294,7042
2010,224,21,2010-08-13T01:00:00Z,26.594761904761906,0.06485714285714286,1.5,5.698675811526437,7.5304784225070716,1.0567057700101294,0.03336259354831627,7.949183673469388,1.0556014143418686,0.010067848306103931,1,4,1918,294,7043
2010,224,22,2010-08-13T02:00:00Z,26.22904761904762,1e-5,1.7,5.659396132455062,7.577476037370973,1.0633487932210701,5.164424073181541e-6,7.9891836734693875,1.0543330832150355,0.010664072229355864,1,4,1918,294,7044
2010,224,23,2010-08-13T03:00:00Z,25.934761904761906,1e-5,1.5,5.5969861480375505,7.621671526126616,1.0414382163795362,5.197109779562197e-6,8.034897959183674,1.054217297562686,0.010095661115168379,1,4,1918,294,7045
2010,224,24,2010-08-13T04:00:00Z,25.803333333333335,1e-5,1.4,5.560660019573693,7.643381481102017,1.0384801569338362,5.216279517367212e-6,7.999183673469389,1.0465503642919145,0.00982258752516794,1,4,1918,294,7046
2010,225,1,2010-08-13T05:00:00Z,25.721904761904764,1e-5,1.5,5.555989300103425,7.654816283171664,1.0343161360261277,5.220978190575728e-6,8.00061224489796,1.0451736460986651,0.010120205669361117,1,4,1918,295,7047
