year,yday,hour,datetime,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,k,series,unique_series,series_length,unique_day,index
2009,162,5,2009-06-11T09:00:00Z,10.803333333333333,12.850436507936507,5,2.4,10.352163167479631,9.94229981099685,1.0866030534891054,1.678915189383119,0.005996506827642336,1,3,1313,158,3760
2009,162,6,2009-06-11T10:00:00Z,10.803333333333333,12.83472222222222,127.1,1.1,10.39565721422195,9.950565671206562,1.0857004204890965,42.5317301321234,0.0038895479185465857,1,3,1313,158,3761
2009,162,7,2009-06-11T11:00:00Z,10.803333333333333,12.834722222222222,139.9,1.1,10.429658514426565,9.956543799927077,1.085048541986272,46.689784973682436,0.0038768677635582123,1,3,1313,158,3762
2009,162,8,2009-06-11T12:00:00Z,10.813333333333334,12.857579365079363,341.6,1.3,10.452360464809741,9.954254415783499,1.0863026884452216,113.80110395308492,0.004189199771281797,1,3,1313,158,3763
2009,162,9,2009-06-11T13:00:00Z,10.833333333333334,12.960436507936507,782,1.9,10.517099102610457,9.933412793948857,1.0905953027475794,259.1964105333447,0.005126853674922353,1,3,1313,158,3764
2009,162,10,2009-06-11T14:00:00Z,10.823333333333334,13.031865079365078,1123.1,1.8,10.533457052846922,9.914899388985205,1.091623112722388,371.77859096366547,0.00497008406018525,1,3,1313,158,3765
2009,162,11,2009-06-11T15:00:00Z,10.823333333333334,13.256150793650791,1491.1,3.3,10.567698932659026,9.863774334396663,1.097281118404192,492.27735503810646,0.007371256358918607,1,3,1313,158,3766
2009,162,12,2009-06-11T16:00:00Z,10.783333333333333,13.431865079365078,1616.1,4.2,10.58803302068031,9.823194200947293,1.0977420493522818,532.6988837743836,0.008828362648630211,1,3,1313,158,3767
2009,162,13,2009-06-11T17:00:00Z,10.763333333333334,13.597579365079364,1085,3.9,10.606329382247745,9.785621326232796,1.0999131250337204,357.1276779261056,0.008372414182905718,1,3,1313,158,3768
2009,162,14,2009-06-11T18:00:00Z,10.763333333333334,13.801865079365077,830.5,4.6,10.607893951651269,9.740398640096542,1.1050197975497493,273.325680228178,0.009543436182221312,1,3,1313,158,3769
2009,162,15,2009-06-11T19:00:00Z,10.763333333333334,13.800436507936507,1988.3,5.1,10.606584354511778,9.740245035533423,1.1050372238139368,654.4358040885685,0.010348754157853975,1,3,1313,158,3770
2009,162,16,2009-06-11T20:00:00Z,10.783333333333333,13.629007936507936,1610.7,6.4,10.576469213430002,9.780053703317362,1.1025842659407548,531.3984123611776,0.012418603293263058,1,3,1313,158,3771
2009,162,17,2009-06-11T21:00:00Z,10.783333333333333,13.621865079365078,551.4,4.7,10.563689309577104,9.781602532497663,1.1024096815943598,182.09830630912901,0.009697951485635478,1,3,1313,158,3772
2009,162,18,2009-06-11T22:00:00Z,10.793333333333333,13.614722222222222,454.5,5.7,10.554022629651863,9.784957399958829,1.103053686608666,150.21080300602398,0.011313952187111929,1,3,1313,158,3773
2009,162,19,2009-06-11T23:00:00Z,10.793333333333333,13.787579365079363,243,4.7,10.537432839459049,9.749333480513739,1.1070842283635354,80.4150052039338,0.009765470704300488,1,3,1313,158,3774
2009,162,20,2009-06-12T00:00:00Z,10.803333333333333,13.829007936507935,62.4,2.4,10.532340759774877,9.740641973219757,1.1090986983235054,20.658010096977545,0.006051386346246701,1,3,1313,158,3775
2009,162,21,2009-06-12T01:00:00Z,10.823333333333334,13.650436507936506,2,1.3,10.498980887758275,9.782025387396644,1.1064511596216395,0.6638484431669183,0.0042607211515167265,1,3,1313,158,3776
2009,162,22,2009-06-12T02:00:00Z,10.843333333333334,13.567579365079364,0,1.4,10.490071506970036,9.805946993665374,1.1057915508148382,1e-5,0.004416528571750403,1,3,1313,158,3777
2009,162,23,2009-06-12T03:00:00Z,10.833333333333334,13.511865079365078,0,1.8,10.484631534912731,9.821888163708925,1.102978689307583,1e-5,0.0050582670071784314,1,3,1313,158,3778
2009,162,24,2009-06-12T04:00:00Z,10.793333333333333,13.554722222222221,0,1.1,10.397679996623486,9.814586241421967,1.0997237242442899,1e-5,0.003965070113616576,1,3,1313,158,3779
2009,163,1,2009-06-12T05:00:00Z,10.653333333333334,13.737579365079364,0,1.1,10.41044879264828,9.77337374708269,1.09003642028049,1e-5,0.003979709384440929,1,3,1313,159,3780
2009,163,2,2009-06-12T06:00:00Z,10.683333333333334,13.714722222222221,0,1.1,10.386983622918645,9.778549490397936,1.0925274084693084,1e-5,0.003986253245308703,1,3,1313,159,3781
2009,163,3,2009-06-12T07:00:00Z,10.733333333333334,13.544722222222221,0,1.1,10.464511817927676,9.814493033877053,1.0936207602659338,1e-5,0.003938687833348329,1,3,1313,159,3782
2009,163,4,2009-06-12T08:00:00Z,10.763333333333334,13.461865079365078,0,1.1,10.409366020958299,9.833874951149886,1.0945159854889923,1e-5,0.003950737586929813,1,3,1313,159,3783
2009,163,5,2009-06-12T09:00:00Z,10.773333333333333,13.396150793650792,6,1.1,10.412853420420438,9.8523988378433,1.0934731237181246,2.0167744748404814,0.0039424336034765564,1,3,1313,159,3784
2009,163,6,2009-06-12T10:00:00Z,10.793333333333333,13.364722222222222,183.6,1.1,10.382901909577308,9.865391388434176,1.0940603274987186,61.85875388863353,0.0039504608829839215,1,3,1313,159,3785
2009,163,7,2009-06-12T11:00:00Z,10.793333333333333,13.363293650793649,437.2,1.1,10.361186864814844,9.866263737197324,1.093963593598336,147.55397861230574,0.003958587945107893,1,3,1313,159,3786
2009,163,8,2009-06-12T12:00:00Z,10.793333333333333,13.41472222222222,854.8,3.1,10.36823082925829,9.857255067541141,1.094963380715854,288.3330374672859,0.007219432301872458,1,3,1313,159,3787
2009,163,9,2009-06-12T13:00:00Z,10.803333333333333,13.681865079365078,1193.8,3.4,10.338096465982254,9.798009461281636,1.1026049092955454,403.6385072093182,0.0077863425551573245,1,3,1313,159,3788
2009,163,10,2009-06-12T14:00:00Z,10.753333333333334,13.819007936507935,1484.4,4.2,10.307447565369625,9.765013924442433,1.1012102406138997,503.1093725280929,0.009163517296595765,1,3,1313,159,3789
2009,163,11,2009-06-12T15:00:00Z,10.733333333333334,14.031865079365078,1697.1,3.9,10.277432577196597,9.717769130481711,1.1045058993700627,576.5663540856624,0.008741577299429737,1,3,1313,159,3790
2009,163,12,2009-06-12T16:00:00Z,10.693333333333333,14.529007936507936,1832.9,4.5,10.279151812039949,9.610949788939184,1.1126198313552544,622.6178502224107,0.009872618390538433,1,3,1313,159,3791
2009,163,13,2009-06-12T17:00:00Z,10.593333333333334,15.159007936507935,1898.3,5.3,10.087677793498203,9.478417180889622,1.1176268285269828,654.7259818645074,0.011632860632844353,1,3,1313,159,3792
2009,163,14,2009-06-12T18:00:00Z,10.553333333333333,15.596150793650793,1460.2,3.4,10.108042108056909,9.386930896542152,1.1242581254348902,502.80618586038094,0.008379348483059707,1,3,1313,159,3793
2009,163,15,2009-06-12T19:00:00Z,10.543333333333333,15.784722222222221,1593.5,4.2,10.11470124908052,9.344738298274907,1.1282641628690333,548.4152098523341,0.009838215750869024,1,3,1313,159,3794
2009,163,16,2009-06-12T20:00:00Z,10.573333333333334,15.649007936507935,882.3,3.3,10.108978506364979,9.370889274177918,1.1283169637345762,303.7890257629223,0.008212906263206584,1,3,1313,159,3795
2009,163,17,2009-06-12T21:00:00Z,10.573333333333334,15.591865079365078,727.6,3.4,10.101737236860144,9.381437792187052,1.1270482806099194,250.6684053561803,0.008383633333237989,1,3,1313,159,3796
2009,163,18,2009-06-12T22:00:00Z,10.553333333333333,15.947579365079363,360.8,2.8,10.106271728803405,9.310331096084102,1.1335078446105997,124.25566053959508,0.007385907826275122,1,3,1313,159,3797
2009,163,19,2009-06-12T23:00:00Z,10.503333333333334,16.207579365079365,247.3,1.3,10.119945394028909,9.259741097748837,1.134300972614324,85.07457834666809,0.004730197755554258,1,3,1313,159,3798
2009,163,20,2009-06-13T00:00:00Z,10.613333333333333,15.799007936507934,118.7,1.1,10.13628736181885,9.339938852565776,1.1363386314266652,40.78123849063862,0.004317273706109991,1,3,1313,159,3799
2009,163,21,2009-06-13T01:00:00Z,10.623333333333333,15.647579365079363,3.5,1.3,10.15422492313912,9.370998436758168,1.1336394307422808,1.2007623156476899,0.004645586271444035,1,3,1313,159,3800
2009,163,22,2009-06-13T02:00:00Z,10.523333333333333,15.891865079365079,0,1.1,10.15235930465779,9.32382753689761,1.128649504904382,1e-5,0.0043209464255824425,1,3,1313,159,3801
2009,163,23,2009-06-13T03:00:00Z,10.523333333333333,15.716150793650794,0,1.4,10.14090659246533,9.359159066639016,1.124388768093925,1e-5,0.004837146492655489,1,3,1313,159,3802
2009,163,24,2009-06-13T04:00:00Z,10.453333333333333,15.68472222222222,0,2.3,10.219896794170316,9.367186012786819,1.1159523595521486,1e-5,0.006375819546591833,1,3,1313,159,3803
2009,164,1,2009-06-13T05:00:00Z,10.513333333333334,15.376150793650792,0,1.3,10.221851941774576,9.429914973028207,1.114891636181658,1e-5,0.004581992861093446,1,3,1313,160,3804
2009,164,2,2009-06-13T06:00:00Z,10.573333333333334,15.104722222222222,0,1.1,10.20584664389387,9.486488087093434,1.1145677131791876,1e-5,0.00421013430513287,1,3,1313,160,3805
2009,164,3,2009-06-13T07:00:00Z,10.623333333333333,14.954722222222221,0,1.1,10.16930401251659,9.518100600127006,1.116119043035916,1e-5,0.004208516753009515,1,3,1313,160,3806
2009,164,4,2009-06-13T08:00:00Z,10.643333333333333,14.781865079365078,0,2.2,10.183773604394784,9.554370190219368,1.1139753977953164,1e-5,0.006075632192843732,1,3,1313,160,3807
2009,164,5,2009-06-13T09:00:00Z,10.653333333333334,14.623293650793649,5.3,1.3,10.134504214582867,9.590935061480362,1.1107710838456026,1.8316983012817143,0.004530252333330149,1,3,1313,160,3808
2009,164,6,2009-06-13T10:00:00Z,10.673333333333334,14.470436507936506,155.1,1.3,10.111732800821585,9.626252134964076,1.1087735064164892,53.70023530604835,0.0045220180493830845,1,3,1313,160,3809
2009,164,7,2009-06-13T11:00:00Z,10.663333333333334,14.390436507936506,470.2,1.8,10.073883002713389,9.64656562292248,1.105402041530177,163.2886978433114,0.00538986001927673,1,3,1313,160,3810
2009,164,8,2009-06-13T12:00:00Z,10.663333333333334,14.32472222222222,828.1,3.1,10.07346759343947,9.661501113916456,1.103693226094425,287.58793874589924,0.007614166837748687,1,3,1313,160,3811
2009,164,9,2009-06-13T13:00:00Z,10.703333333333333,14.506150793650793,1168,4.2,10.107880899601431,9.623517575448103,1.1122059319182935,404.5203162841495,0.009517630636647696,1,3,1313,160,3812
2009,164,10,2009-06-13T14:00:00Z,10.613333333333333,14.84472222222222,776,5.3,10.156285224567588,9.550313934843924,1.1113072728018947,267.7247809426492,0.011458507423322892,1,3,1313,160,3813
