datetime,year,yday,hour,do,wtemp,par,par_sp,wspeed,z,do_eq,o2_sat,par_int
2012-07-27T03:00:00Z,2012,209,4,7.96,24.443217213114753,0.7,0.126,5.5,8.10832436341705,7.8452000205684485,1.0146331488210079,0.2585738373510382
2012-07-27T04:00:00Z,2012,209,5,7.95,24.412397540983605,0.8,0.2218695652173913,4.5,8.118702603075887,7.846907123915548,1.0131380267991512,0.2952206533943219
2012-07-27T05:00:00Z,2012,209,6,7.94,24.376168032786882,7.6,11.273852459016393,4.5,8.14204896714273,7.859313907884056,1.0102663022576315,2.7983659767359286
2012-07-27T06:00:00Z,2012,209,7,7.94,24.345512295081967,85.7,84.18377049180327,5.5,8.144913513923207,7.865203809243142,1.0095097587514463,31.546656142139927
2012-07-27T07:00:00Z,2012,209,8,7.95,24.322889344262293,249.3,159.9967213114754,4.9,8.124363272268015,7.874683075681674,1.00956443879639,91.9485153186798
2012-07-27T08:00:00Z,2012,209,9,7.97,24.302397540983605,103.3,187.22459016393444,5.7,8.089926554921462,7.883779183848256,1.0109364828898793,38.22517130952285
2012-07-27T09:00:00Z,2012,209,10,7.9799999999999995,24.300594262295082,545.6,701.3688524590164,5.7,8.082496882649663,7.890082108427327,1.0113963188642399,202.0373583033265
2012-07-27T10:00:00Z,2012,209,11,8,24.31469262295082,307.1,1004.4901639344263,5.1,8.067262921906083,7.893429855685752,1.0135011200786797,113.88578493608152
2012-07-27T11:00:00Z,2012,209,12,8.02,24.343053278688522,1072.6,1110.0311475409835,5.2,8.06069298149798,7.8923051993715925,1.0161796582117193,398.01588610855384
2012-07-27T12:00:00Z,2012,209,13,8.04,24.390430327868852,1079.6,1481.2655737704918,6.2,8.08386078036128,7.886769996529172,1.019428739970642,399.72711328092623
2012-07-27T13:00:00Z,2012,209,14,8.049999999999999,24.43338114754098,1526.8,1541.5081967213114,5.8,8.103692179447702,7.8829147439067455,1.0211958725320993,564.2357657006207
2012-07-27T14:00:00Z,2012,209,15,8.069999999999999,24.496331967213113,1279.9,1549.1459016393442,4.9,8.121805211882304,7.876557165153618,1.0245593132621678,472.1764854651036
2012-07-27T15:00:00Z,2012,209,16,8.079999999999998,24.609938524590163,1205.6,1166.527868852459,3,8.105745674986183,7.861145480319354,1.0278400291953067,445.44758925685716
2012-07-27T16:00:00Z,2012,209,17,8.1,24.626987704918033,978.2,859.0901639344262,4.7,8.091591287936188,7.85913763154727,1.0306474297492751,361.9159635494871
2012-07-27T17:00:00Z,2012,209,18,8.11,24.58813524590164,703.5,708.8524590163935,5.9,8.098554986331196,7.864943695961467,1.0311580493785817,260.1090539886948
2012-07-27T18:00:00Z,2012,209,19,8.12,24.52092213114754,363.1,331.48524590163936,6.2,8.082955292138799,7.877260687236848,1.0308151935553498,134.45115847349024
2012-07-27T19:00:00Z,2012,209,20,8.11,24.446168032786883,81.8,70.78590163934426,5.5,8.094271911185364,7.8930192533814205,1.0274902087088693,30.256746880337296
2012-07-27T20:00:00Z,2012,209,21,8.1,24.391741803278688,1.2,3.481,3.4,8.109558421414583,7.904394676746121,1.0247464013695227,0.4432172620764796
2012-07-27T21:00:00Z,2012,209,22,8.079999999999998,24.33059426229508,0.7,0.126,2.9,8.094739369782966,7.917523466829241,1.020521130610027,0.258909262138417
2012-07-27T22:00:00Z,2012,209,23,8.03,24.293709016393443,0.6,0.126,1.9,8.08519770163492,7.92541235856908,1.0131964920813032,0.22212452762802887
2012-07-27T23:00:00Z,2012,209,24,8,24.258790983606556,0.7,0.147,0.7,8.103770071954841,7.932204344976715,1.0085468871041148,0.2586862068486913
2012-07-28T00:00:00Z,2012,210,1,8.01,24.232889344262293,0.7,0.1512,1.6,8.110157672427917,7.941471440344085,1.0086292018010388,0.2562581452979071
2012-07-28T01:00:00Z,2012,210,2,8.01,24.193217213114753,0.8,0.126,1.5,8.114841447412642,7.948305194496637,1.0077620076222136,0.2927349296337189
2012-07-28T02:00:00Z,2012,210,3,7.97,24.152397540983603,0.9,0.149625,0.5,8.135330857967865,7.955926139157214,1.001768978318378,0.328680814092025
2012-07-28T03:00:00Z,2012,210,4,7.97,24.125020491803276,0.8,0.14100000000000001,0.8,8.168733560644638,7.9614545175413065,1.0010733569399743,0.29122860694675906
2012-07-28T04:00:00Z,2012,210,5,7.95,24.085676229508195,0.9,1.0783,0.5,8.154975241762962,7.970695545652326,0.9974035458343891,0.328063435876983
2012-07-28T05:00:00Z,2012,210,6,7.96,24.068627049180325,42.6,42.48204918032787,0.5,8.14248466675599,7.975640334224023,0.9980389870193984,15.54690617382214
2012-07-28T06:00:00Z,2012,210,7,7.989999999999999,24.043872950819672,301.5,303.9967213114754,0.6,8.144870265755808,7.982160682837125,1.0009821046549126,110.00755890334135
2012-07-28T07:00:00Z,2012,210,8,7.989999999999999,24.06010245901639,654.3,581.4557377049181,0.6,8.148498730012218,7.9839659506055245,1.0007557709328678,238.64993897964308
2012-07-28T08:00:00Z,2012,210,9,8.049999999999999,24.10370901639344,950.5,1067.0819672131147,1.1,8.173871572086965,7.975308706376401,1.0093653169267143,345.84615509158
2012-07-28T09:00:00Z,2012,210,10,8.049999999999999,24.24452868852459,1272.1,1372.032786885246,1,8.192401760972507,7.957545720615437,1.011618441493216,462.0443793486697
2012-07-28T10:00:00Z,2012,210,11,8.049999999999999,24.53764344262295,1469.8,1601.622950819672,0.3,8.195951378760657,7.914367801261329,1.0171374646901112,533.6709846591295
2012-07-28T11:00:00Z,2012,210,12,8.059999999999999,24.886331967213113,1556.2,1711.983606557377,1.3,8.200119592754408,7.860955116888788,1.0253206996034838,564.8174114353757
2012-07-28T12:00:00Z,2012,210,13,8.069999999999999,25.103545081967212,1624.4,1788.5409836065573,1.6,8.18284420500569,7.825087422899417,1.0312983822243145,590.5431445464197
2012-07-28T13:00:00Z,2012,210,14,8.079999999999998,25.39354508196721,1623.7,1731.9180327868853,1.7,8.178157361539737,7.779246784661404,1.0386609685569559,590.5529230660555
2012-07-28T14:00:00Z,2012,210,15,8.059999999999999,25.801171185372002,1470.2,1568.967213114754,1.1,8.181994475495296,7.719211235950711,1.0441481329675408,534.5278123608769
2012-07-28T15:00:00Z,2012,210,16,8.059999999999999,25.63059426229508,1274.9,1323.377049180328,1.8,8.202598487082945,7.740466490181209,1.0412809111988428,462.611165447588
2012-07-28T16:00:00Z,2012,210,17,8.059999999999999,25.922301579368252,1025.5,1013.7049180327868,1.8,8.205568850660669,7.694607437932235,1.047486836075156,372.00831118107806
2012-07-28T17:00:00Z,2012,210,18,8.069999999999999,25.731741803278688,688.6,668.2180327868853,1.8,8.137054535109847,7.717585841658131,1.0456637821168893,251.43583712469044
2012-07-28T18:00:00Z,2012,210,19,8.069999999999999,25.40698770491803,361,328.4836065573771,3,8.120651525373367,7.762604259660925,1.0395995635042847,132.0230770422175
2012-07-28T19:00:00Z,2012,210,20,8.1,25.161741803278687,65.1,59.82983606557377,2.1,8.08805720595669,7.795943838408634,1.0390018409436659,23.882615158993573
2012-07-28T20:00:00Z,2012,210,21,8.12,24.968463114754098,0.7,2.6257297297297297,1.2,8.077991754979374,7.82404401911988,1.0378264718548211,0.2570507818344272
2012-07-28T21:00:00Z,2012,210,22,8.11,24.84797131147541,0.5,0.154,0.8,8.109937073461037,7.841313664112491,1.0342654748167022,0.18304540542113928
2012-07-28T22:00:00Z,2012,210,23,8.09,24.751905737704917,0.4,0.168,0.5,8.121810607098435,7.8597580023299045,1.0292937769333157,0.14626970668617106
2012-07-28T23:00:00Z,2012,210,24,8.079999999999998,24.66764344262295,0.5,0.1386,1.2,8.10958051826421,7.868328764711893,1.0269016765335752,0.1830516657618762
2012-07-29T00:00:00Z,2012,211,1,8.079999999999998,24.623053278688523,0.7,0.126,1.1,8.101673190369626,7.874790487923302,1.0260590440331592,0.25422838696683786
2012-07-29T01:00:00Z,2012,211,2,8.079999999999998,24.569938524590164,0.6,0.133,2.1,8.083970965006783,7.879688355690836,1.0254212648098568,0.218282820013648
2012-07-29T02:00:00Z,2012,211,3,8.079999999999998,24.547971311475408,0.4,0.14175,1.7,8.062254855563443,7.880843738656968,1.025270931380879,0.1458277065486411
2012-07-29T03:00:00Z,2012,211,4,8.049999999999999,24.506004098360656,0.7,0.13745454545454547,1.5,8.044253086627766,7.885526599755065,1.0208576305163999,0.25564355231179675
2012-07-29T04:00:00Z,2012,211,5,8.049999999999999,24.478299180327866,0.8,0.95,1.7,8.068539394304775,7.888680989580306,1.0204494275573788,0.2914781854138527
2012-07-29T05:00:00Z,2012,211,6,8.059999999999999,24.429610655737704,46.7,72.63004918032787,1.9,8.063458880416775,7.897292567606487,1.0206029384121988,17.023401858177337
2012-07-29T06:00:00Z,2012,211,7,8.079999999999998,24.408463114754095,352.1,312.5672131147541,2.1,8.03401771130505,7.902151544172484,1.0225063332224589,128.7162804805019
2012-07-29T07:00:00Z,2012,211,8,8.079999999999998,24.399610655737703,542.1,631.5459016393443,2.7,8.027251285407766,7.904611403963867,1.0221881364020222,198.30410899430342
2012-07-29T08:00:00Z,2012,211,9,8.11,24.399282786885244,472.1,748.2885245901639,4.1,8.00462888993333,7.904187522861819,1.026038410215205,173.0770702259111
2012-07-29T09:00:00Z,2012,211,10,8.11,24.40092213114754,507.1,686.2475409836065,3.9,7.987127210326509,7.902320632615411,1.026280807504498,186.22480927714398
2012-07-29T10:00:00Z,2012,211,11,8.12,24.408790983606554,1257,1121.127868852459,4.1,7.982752496820698,7.900327497836686,1.0278054931549945,461.8106042117466
2012-07-29T11:00:00Z,2012,211,12,8.129999999999999,24.550430327868852,800.2,1330.5098360655738,3.7,7.999529601353402,7.875733355730546,1.0322848213346942,293.5074543393437
2012-07-29T12:00:00Z,2012,211,13,8.139999999999999,24.643217213114752,773,1020.067213114754,4.3,8.018748185605391,7.857062703403657,1.0360105687426644,283.00227794666677
2012-07-29T13:00:00Z,2012,211,14,8.17,24.62764344262295,893.2,1095.6901639344262,4.4,8.01950812567371,7.856576073399835,1.039893195670991,326.98447787965046
2012-07-29T14:00:00Z,2012,211,15,8.19,24.812725409836066,959.9,1566.2081967213114,2.5,8.01931295593958,7.826504225181348,1.0464442060414563,351.4088026629485
2012-07-29T15:00:00Z,2012,211,16,8.17,25.04026639344262,969.6,1276.6918032786884,3.4,8.008029457278234,7.790236592333412,1.0487486359580303,355.34872912433445
2012-07-29T16:00:00Z,2012,211,17,8.17,25.179938524590163,610.7,1073.2426229508196,1.5,7.994070869715333,7.768479827470777,1.051685810022879,224.1190630759392
2012-07-29T17:00:00Z,2012,211,18,8.149999999999999,25.283217213114753,635.9,745.372131147541,3.2,8.01416546365695,7.751152978567821,1.0514564765441996,232.91226346313368
2012-07-29T18:00:00Z,2012,211,19,8.149999999999999,25.222069672131145,356.7,327.95901639344265,2.4,8.027916109816797,7.757920843123554,1.0505392056460559,130.47503511516018
2012-07-29T19:00:00Z,2012,211,20,8.149999999999999,25.139118852459013,77.6,62.69414754098361,2.6,8.026303890498848,7.769458698824832,1.048979126593816,28.389250032765396
2012-07-29T20:00:00Z,2012,211,21,8.149999999999999,25.05387295081967,0.5,1.443774193548387,5.1,8.007541435267834,7.775041528087907,1.0482259124350046,0.183253694147256
2012-07-29T21:00:00Z,2012,211,22,8.149999999999999,24.92452868852459,0.3,0.1575,5.2,7.9812727019433165,7.800737368173958,1.0447730279000276,0.11023318734051248
2012-07-29T22:00:00Z,2012,211,23,8.12,24.80747950819672,0.6,0.168,5.4,7.981563833904969,7.820268131206788,1.0383275693063683,0.22046013380486257
2012-07-29T23:00:00Z,2012,211,24,8.12,24.70469262295082,0.4,0.149625,3.8,7.985714751456341,7.832848427447572,1.0366599169142865,0.1469141226403615
2012-07-30T00:00:00Z,2012,212,1,8.12,24.63436475409836,0.4,0.144,4,7.993612330947353,7.838467144192656,1.0359168253981808,0.1455357048210685
2012-07-30T01:00:00Z,2012,212,2,8.12,24.589446721311475,0.6,0.1512,4.2,8.020427777988408,7.838102932861171,1.0359649611077417,0.2177329018886217
2012-07-30T02:00:00Z,2012,212,3,8.11,24.569938524590164,0.5,0.126,4.9,8.052766989027123,7.838939680512773,1.034578696932835,0.18087330865520979
2012-07-30T03:00:00Z,2012,212,4,8.1,24.52502049180328,0.5,0.1386,4.1,8.087848537359179,7.843740858770626,1.0326705261996045,0.18025748330930913
2012-07-30T04:00:00Z,2012,212,5,8.1,24.495512295081966,0.5,0.4153181818181818,4.9,8.098964415479697,7.862813857290166,1.0301655548528497,0.18006307796692383
2012-07-30T05:00:00Z,2012,212,6,8.069999999999999,24.47026639344262,10.4,42.014819672131146,4.2,8.104726359948678,7.861596487280868,1.0265090574231714,3.743218836895156
2012-07-30T06:00:00Z,2012,212,7,8.079999999999998,24.445840163934427,103.4,223.15081967213115,5.9,8.112929004541556,7.848156828330977,1.0295410982145634,37.186640212349474
2012-07-30T07:00:00Z,2012,212,8,8.079999999999998,24.435348360655738,523.8,544.3065573770492,5.9,8.118484917492237,7.85536039723772,1.028596982366496,188.27731592951199
2012-07-30T08:00:00Z,2012,212,9,8.1,24.443053278688524,858.8,1020.7377049180328,7.6,8.125289428612433,7.852209244181484,1.031556820267128,308.48793909393646
2012-07-30T09:00:00Z,2012,212,10,8.1,24.466659836065574,1049.6,1241.0196721311474,9.7,8.146207949503648,7.839650240775401,1.033209358992889,376.26207698119396
2012-07-30T10:00:00Z,2012,212,11,8.11,24.47731557377049,1298.7,1082.0622950819672,8.3,8.175894239186091,7.8371650501907455,1.0348129646449915,464.2258350175424
2012-07-30T11:00:00Z,2012,212,12,8.11,24.48747950819672,482.7,636.9983606557377,7.6,8.162636097463166,7.8350922768001805,1.0350867243789617,172.76430559779698
2012-07-30T12:00:00Z,2012,212,13,8.12,24.486987704918032,959.4,890.4245901639345,7.4,8.13495421618109,7.834654902856562,1.0364208890731612,344.3018547835708
2012-07-30T13:00:00Z,2012,212,14,8.129999999999999,24.516987704918034,1073.9,1134.5950819672132,7,8.130818525023258,7.828625930290426,1.038496419728461,385.54707167521224
2012-07-30T14:00:00Z,2012,212,15,8.129999999999999,24.585184426229507,1057,1466.0852459016394,7.2,8.220216106500105,7.814731272791782,1.0403428750398462,376.2177694781357
2012-07-30T15:00:00Z,2012,212,16,8.139999999999999,24.622889344262294,1186.7,1308.4606557377049,7.2,8.26811434709819,7.809839743289929,1.0422749080086742,420.44115229770205
2012-07-30T16:00:00Z,2012,212,17,8.139999999999999,24.638627049180325,642.4,829.2655737704918,7.6,8.332888253977657,7.808414096684881,1.042465204740601,226.1907222508861
2012-07-30T17:00:00Z,2012,212,18,8.139999999999999,24.62829918032787,470.7,587.6786885245901,7.4,8.378567262045577,7.81260910064681,1.0419054499125118,165.01353800039658
2012-07-30T18:00:00Z,2012,212,19,8.139999999999999,24.61108606557377,311.4,306.52131147540985,7,8.374427359514534,7.817884505531974,1.0412023859191184,109.21075306534934
